Photo,Name,Links,Location,Season,Type,Management,Fee,Amenities,Features,Surface,Trail,Sports,Favorite,Difficulty,Motorized,Notes,Class3,Source,Status,TrailT
"<img src='http://www.washingtonhometown.com/Thumbnail/104254.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/496/Dash-Point target=""_blank"">Dash Point State Park</a>",,"King, Pierce County",,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Bathroom, Camping Cabin or Yurt, Shower","Features: Accessible Facilities, Beach",,,Summer Sports: Swimming,,,Trail uses unknown,"This 398-acre camping park with 3,301-feet of saltwater shoreline has a beach with an unobstructed views of the Puget Sound and opportunities to study sea-life.",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
"<img src='http://www.washingtonhometown.com/Thumbnail/104254.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/496/Dash-Point target=""_blank"">Dash Point State Park</a>",,"King, Pierce County",,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Bathroom, Camping Cabin or Yurt, Shower","Features: Accessible Facilities, Beach",,,Summer Sports: Swimming,,,Trail uses unknown,"This 398-acre camping park with 3,301-feet of saltwater shoreline has a beach with an unobstructed views of the Puget Sound and opportunities to study sea-life.",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
"<img src='http://www.washingtonhometown.com/Thumbnail/104256.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/502/Federation-Forest target=""_blank"">Federation Forest State Park</a>",,"King, Pierce County",Season: Spring to Fall,Natural Area,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Ampitheater, Bathroom, BBQ Grill, Picnic Shelter, Picnic Tables, Potable Water","Features: Accessible Facilities, Interpretive Signs",,,Summer Sports: Hiking,,,No motorized use,"This day-use natural area has 600 acres of old growth Douglas Firs, with mature Western Hemlock, Sitka Spruce and Western Red Cedar trees. Hike through five distinct ecosystems. Short interpretive loops make this ideal for small children",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
"<img src='http://www.washingtonhometown.com/Thumbnail/104276.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/530/Kopachuck target=""_blank"">Kopachuck State Park</a>",,Pierce County,Season: Year round (Open),Regional Park,Owner: WA State Parks,"Pass: Discover Pass . Additional fees: Camping Fee, Moorage Fee.","Amenities: Bathroom, BBQ Grill, Pay Station, Picnic Shelter, Picnic Tables","Features: Beach, Ocean Access",Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Beachcombing, Boating, Diving, Fishing, Hiking, Kayaking, Scuba Diving, Shellfish Gathering, Swimming, Water Skiing",,,No motorized use,"This 109-acre marine park has 5,600-feet of shoreline on Henderson Bay and includes Cutts Island which half mile from shore and reachable only by boat. It provides scenic views of sunsets, the Olympic Mountains & Puget Sound.",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
"<img src='http://www.washingtonhometown.com/Thumbnail/104277.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/564/Penrose-Point target=""_blank"">Penrose Point State Park</a>",,Pierce County,,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Bathroom, Shower",Features: Accessible Facilities,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,"This 165-acre marine and camping park has over 2 miles of saltwater frontage on Mayo Cove and Carr Inlet. It offers a wide variety of water activities and has impressive stands of fir and cedar share space with ferns, rhododendrons, wildlife, and birds.",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
"<img src='http://www.washingtonhometown.com/Thumbnail/104277.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/564/Penrose-Point target=""_blank"">Penrose Point State Park</a>",,Pierce County,,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Bathroom, Shower",Features: Accessible Facilities,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,"This 165-acre marine and camping park has over 2 miles of saltwater frontage on Mayo Cove and Carr Inlet. It offers a wide variety of water activities and has impressive stands of fir and cedar share space with ferns, rhododendrons, wildlife, and birds.",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
"<img src='http://www.washingtonhometown.com/Thumbnail/104277.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/564/Penrose-Point target=""_blank"">Penrose Point State Park</a>",,Pierce County,,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Bathroom, Shower",Features: Accessible Facilities,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,"This 165-acre marine and camping park has over 2 miles of saltwater frontage on Mayo Cove and Carr Inlet. It offers a wide variety of water activities and has impressive stands of fir and cedar share space with ferns, rhododendrons, wildlife, and birds.",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
"<img src='http://www.washingtonhometown.com/Thumbnail/104280.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/524/Joemma-Beach target=""_blank"">Joemma Beach State Park</a>",,Pierce County,,Regional Park,Owner: WA State Parks,Pass: Discover Pass,Amenities: Bathroom,,,,,,,Trail uses unknown,"This 122-acre marine camping park with 3,000' of saltwater frontage on southeast Key Peninsula is an excellent place for fishing, boating, and crabbing. This forested park set on Puget Sound provides a boat launch and water trail campsites.",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
"<img src='http://www.washingtonhometown.com/Thumbnail/104280.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/524/Joemma-Beach target=""_blank"">Joemma Beach State Park</a>",,Pierce County,,Regional Park,Owner: WA State Parks,Pass: Discover Pass,Amenities: Bathroom,,,,,,,Trail uses unknown,"This 122-acre marine camping park with 3,000' of saltwater frontage on southeast Key Peninsula is an excellent place for fishing, boating, and crabbing. This forested park set on Puget Sound provides a boat launch and water trail campsites.",State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/paradise.htm target=""_blank"">Alta Vista Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Paved,"Trail Length: 1.1 mi; Trail Surface: Paved",Summer Sports: Hiking,,,No motorized use,This trail through the Paradise Meadows is a great place to view wildflowers.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
