Photo,Name,Name_,Links,Location,Contact,Hours,Season,Days_Open,Subtype,Category,Type,Management,Fee,Amenities,Features,Facilities,Details,Sports,Notes,Source,Status,Latitude,Longitude,MapCat
,"<a href=http://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18106&actid=50 target=""_blank"">Christoff Trailhead</a>",Christoff Trailhead,,Mt Baker-Snoqualmie National Forest,,,Season: Summer to Fall (Best),,Recreation Access,Trail Access,Trailhead,Owner: USFS,,,,Facilites: Trails,Elevation: 2120 ft,"Summer Sports: Hiking, Horseback Riding",The trailhead is 1 mile down a gated spur road signed No motorized Vehicles.,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,47.160731,-121.643712,Trail Access
,"<a href=http://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=80392&actid=50 target=""_blank"">Lost Creek Ridge Trailhead</a>",Lost Creek Ridge Trailhead,,Mt Baker-Snoqualmie National Forest,,,,,Recreation Access,Trail Access,Trailhead,Owner: USFS,Free - No fee or pass,,,Facilites: Trails,,Summer Sports: Hiking,This lightly used trailhead with limited parking provides access to the Lost Creek Ridge Trail (646) and Glacier Peak Wilderness.,"Location contributed by <a href=http://www.fs.usda.gov/mbs/ target=""_blank"">Mt Baker-Snoqualmie National Forest</a>",Open,48.093679,-121.336206,Trail Access
,"<a href=http://www.nps.gov/sajh/index.htm target=""_blank"">San Juan Island National Historical Park</a>",San Juan Island National Historical Park,,San Juan County,,,Season: Year round (Open),,Recreation Areas,Park,Regional Park,Owner: NPS,Free - No fee or pass,,"Features: Historic Site, Ocean Access",Facilites: Trails,,,"San Juan Island has splendid vistas, saltwater shore, woodlands, orca whales and one of the last remaining native prairies in the Puget Sound region. In 1859, the death of a pig almost drew the US and Great Britain into war over possession of the island.","Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,48.460854,-123.007194,Regional Park
,"<a href=http://www.nps.gov/lewi/index.htm target=""_blank"">Lewis and Clark National Historical Park</a>",Lewis and Clark National Historical Park,,Pacific County,,,,,Recreation Areas,Park,Regional Park,Owner: NPS,,,"Features: Historic Site, Interpretive Signs",Facilites: Trails,,Summer Sports: Hiking,Explore the timeless rainforests and majestic coastal vistas. Discover the rich heritage of the Native people. Unfold the dramatic stories of America's most famous explorers. This area covers several state parks and other facilities.,"Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Verify,46.248057,-123.904756,Regional Park
,"<a href=http://www.nps.gov/whmi/index.htm target=""_blank"">Whitman Mission National Historic Site</a>",Whitman Mission National Historic Site,,Walla Walla County,,"Hours: Groupnds open daily 8-4:30. Visitor center open 9-4 Daily in the summer, Wed-Sun Fall-Spring.",Season: Year round (Open),,Attraction,Museum,History Interpretive Center,Owner: NPS,Free - No fee or pass,,"Features: Historic Site, Interpretive Signs",Facilites: Trails,,,"This history park, site of the 1847 Whitman Massacrethat  horrified Americans and impacted the lives of the peoples of the Columbia Plateau for decades afterwards, provides different perspectives on the event.","Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,46.041416,-118.463896,Interpretive Center or Site
,"<a href=http://www.bijac.org/index.php?p=MEMORIALVisitorInformation target=""_blank"">Bainbridge Island Japanese American Memorial</a>",Bainbridge Island Japanese American Memorial,,"4192 Eagle Harbor Drive, Bainbridge Island",,Hours: Daylight Hours,Season: Year round (Open),,Attraction,Interpretive Site,History Interpretive Site,Owner: NPS,,,"Features: Historic Site, Interpretive Signs",,,,"The Bainbridge Island Japanese American Exclusion Memorial is located on the site of the former Eagledale ferry dock where, in 1942, 227 people, 2/3s US citizens, were forcibly removed from their homes by US Army soldiers and put on a ferry to Seattle.","Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,47.614732,-122.510023,Interpretive Center or Site
,"<a href=http://www.nps.gov/fova/index.htm target=""_blank"">Fort Vancouver National Historic Site</a>",Fort Vancouver National Historic Site,,Clark County,Phone: 360-816-6230,Hours: Park grounds are open daily from dawn to dusk.,Season: Year round (Open),,Recreation Areas,Park,Regional Park,Owner: NPS,Free - No fee or pass,,"Features: Historic Site, Interpretive Signs",,,,Explore the lands and structures at the center of fur trade and military history in the Pacific Northwest. Learn about the diverse cultures who lived and worked here. Enjoy relaxing trails along the Columbia River and Village.,"Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,45.624291,-122.660661,Regional Park
,"<a href=http://www.nps.gov/laro/index.htm target=""_blank"">Lake Roosevelt National Recreation Area</a>",Lake Roosevelt National Recreation Area,,"Douglas, Ferry, Grant, Lincoln, Stevens County",Phone: 509-754-7800,,Season: Year round (Open),,Recreation Areas,Recreation Lands,National Park,Owner: NPS,Free - No fee or pass,,,Facilites: Trails,,"Summer Sports: Boating, Camping, Fishing, Hiking, Hunting, Swimming","Lake Roosevelt National Recreation Area on the 130-mile lake created by the Grand Coulee Dam provides opportunities for boating, fishing, swimming, camping, canoeing, hunting and visiting historic Fort Spokane and St. Paul's Mission.","Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,47.951243,-118.840733,Recreation Area
,"<a href=http://www.nps.gov/noca/index.htm target=""_blank"">North Cascades National Park</a>",North Cascades National Park,,"Chelan, Skagit, Whatcom County",Phone: 360-854-7200,,Season: Year round (Open),,Recreation Areas,Recreation Lands,National Park,Owner: NPS,Free - No fee or pass,,,Facilites: Trails,,"Summer Sports: Boating, Camping, Fishing, Hiking, Horseback Riding, Kayaking","In this park you can discover ecosystems adapted to moisture in the west and recurring fire in the east; explore jagged peaks with more than 300 glaciers; and listen to cascading waters in forested valleys. No fee to enter, but fee for some facilitie","Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,48.659798,-121.169454,Recreation Area
,"<a href=http://www.nps.gov/olym/index.htm target=""_blank"">Olympic National Park</a>",Olympic National Park,,"Clallam, Grays Harbor, Jefferson County",Phone: (360) 565-3130,,Season: Year round (Open),,Recreation Areas,Recreation Lands,National Park,Owner: NPS,Pass: National Park Pass,,,Facilites: Trails,,"Summer Sports: Beach Combing, Boating, Camping, Fishing, Hiking, Horseback Riding, Kayaking","This park stretches across galicer-capped mountains, old-growth temperate rainforests and over 70 miles of wild coastline.","Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,47.835705,-123.574537,Recreation Area
,"<a href=http://www.nationalparks.org/explore-parks/ross-lake-national-recreation-area target=""_blank"">Ross Lake National Recreation Area</a> - <a href=http://www.nps.gov/noca/index.htm target=""_blank"">Nth Cascades National Park web</a>",Ross Lake National Recreation Area,,North Cascades National Park,,,Season: Year round (Open),,Recreation Areas,Recreation Lands,National Park,Owner: NPS,Free - No fee or pass,,,Facilites: Trails,,"Summer Sports: Boating, Camping, Fishing, Hiking, Kayaking","Ringed by mountains along the upper reaches of the Skagit River, this is the most accessible part of the Nth Cascades National Park. It includes Ross Lake, Diablo Lake, and Gorge Lake. No fee to enter, but fee for some facilities.","Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,48.812111,-121.045265,Recreation Area
,"<a href=http://www.nps.gov/mora/index.htm target=""_blank"">Mount Rainier National Park</a>",Mount Rainier National Park,,"Lewis, Pierce County",,,,,Recreation Areas,Recreation Lands,National Park,Owner: NPS,Pass: National Park Pass,,,Facilites: Trails,,"Summer Sports: Boating, Fishing, Hiking, Rock Climbing","An active volcano and the most galcieted peak in the lower 48 states, 14,410' Mount Rainieris an icon in the Washington landscape. Subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainier's lower slopes.","Location contributed by <a href=http://www.nps.gov target=""_blank"">National Park Service</a>",Open,46.865736,-121.707060,Recreation Area
"<img src='http://www.washingtonhometown.com/Thumbnail/100688.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/497/Deception-Pass target=""_blank"">Deception Pass State Park</a>",Deception Pass State Park,,"Island, Skagit County",,,Season: Year round (Open),,Recreation Areas,Park,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Campground, Camping Cabin or Yurt, Day-Use Area, Picnic Shelter, Picnic Tables, Playground","Features: Interpretive Signs, Lake Access, River Access","Facilites: Boat Launch, Dock, Horseshoes, Trails","Paved Launch; Standard Campground; 310 campsites","Summer Sports: Boating, Diving, Fishing, Hiking, Mountain Biking, Swimming","This large marine and camping park is a favorite of visitors. It has ocean and lake shoreline, bordering the Pacific Ocean and three lakes. Rugged cliffs drop to meet the turbulent waters of Deception Pass.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,48.404443,-122.643786,Regional Camping Park
"<img src='http://www.washingtonhometown.com/Thumbnail/100689.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/510/Fort-Townsend target=""_blank"">Fort Townsend Historical State Park</a>",Fort Townsend Historical State Park,,Jefferson County,,,Season: Year round (Open),,Recreation Areas,Park,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Ampitheater, Campground, Day-Use Area, Group Camp Site, Picnic Shelter, RV Dump, Shower",Features: Ocean Access,"Facilites: Mooring Buoy, Trails","Standard Campground; 44 campsites","Summer Sports: Boating, Diving, Fishing","This 367-acre heavily wooded marine camping park has 3,960-feet of saltwater shoreline on Port Townsend Bay and 6.5 miles of hiking trails. With a rich military history dating from pioneer days the park offers nature & history interpretive events.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,48.073739,-122.796924,Regional Camping Park
,Old Ruby State Park Heritage Site,Old Ruby State Park Heritage Site,,Okanogan County,,,,,Recreation Areas,Recreation Lands,Open Space,Owner: WA State Parks,Pass: Discover Pass,,Features: Historic Site,,,,This state park property is open to the public but has no facilities. It consists of a group of foundations from the old site of thie historic silver mining town.,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,48.497996,-119.726995,Recreation Area
"<img src='http://www.washingtonhometown.com/Thumbnail/100746.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/506/Fort-Columbia target=""_blank"">Fort Columbia Historical State Park</a>",Fort Columbia Historical State Park,,Pacific County,Phone: (360) 777-8221,"Hours: 6:30 am-9:30 pm (Summer), 8am-5pm (winter)",Season: Year round (Open),,Recreation Areas,Park,Natural Area,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Bathroom, Day-Use Area, Picnic Tables, Vacation House","Features: Accessible Facilities, Historic Site, Interpretive Signs, River Access",Facilites: Trails,5 miles of trails,Summer Sports: Hiking,"This 593-acre day-use historical park at the Chinook Point National Historic Landmark on the Columbia River, was once home to the Chinook Indian Natiowas visited by the Lewis and Clark expeditioand has old coastal artillery buildings.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,46.252486,-123.920651,Recreation Area
"<img src='http://www.washingtonhometown.com/Thumbnail/100876.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/591/Steptoe-Battlefield target=""_blank"">Steptoe Battlefield State Park Heritage Site</a>",Steptoe Battlefield State Park Heritage Site,,Whitman County,,,,,Recreation Facilities,Picnic or Day Use Area,Picnic Area,Owner: WA State Parks,Pass: Discover Pass,,"Features: Historic Site, Interpretive Signs",,,,"This small day-use park is the site of an 1858 battle between 159 American soldiers and a large band of Spokane, Palouse, and Coeur D'Alene Native Americans.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,47.228544,-117.365153,Picnic Area or Viewpoint
"<img src='http://www.washingtonhometown.com/Thumbnail/101164.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.jchsmuseum.org/Rothschild/house.html target=""_blank"">Rothschild House Historic House Museum</a>",Rothschild House Historic House Museum,,Fort Worden Historical State Park,,,Season: Spring to Fall,,Attraction,Museum,History Museum,"Owner: WA State Parks; Manager: Jefferson County Historical Society","Fee: $4 adults, $1 children 3-12",,,,,,"This national historic site is maintained as the Rothschild family remembered it, providing a reflection of the culture of the area 100 yaers ago. It is managed by the Jefferson County Historical Society.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,48.116068,-122.757598,Museum
,"<a href=http://www.parks.state.wa.us/538/Lewis-Clark target=""_blank"">Jackson House State Park Heritage Site</a>",Jackson House State Park Heritage Site,,Lewis & Clark State Park,,,,,Recreation Areas,Park,Community Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Day-Use Area, Picnic Shelter",,,,,"Matilda Jackson State Park, a five acre day use park nestled in old growth Douglas Fir trees, is five miles south of Lewis & Clark State Park. Facilities include a kitchen shelter and restroom.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,46.542038,-122.822065,Community Park
