Photo,Name,Name_,Links,Location,Contact,Hours,Season,Days_Open,Subtype,Category,Type,Management,Fee,Amenities,Features,Facilities,Details,Sports,Notes,Source,Status,Latitude,Longitude,MapCat
,"<a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=158 target=""_blank"">Memorial Pool & Fitness Center</a>",Memorial Pool & Fitness Center,,"815 E 6th Ave, Ellensburg",Phone: 509-962-7211,"Hours: M&W 5:30am-10pm, Tue&Thu 5:30am-9pm, Sat 7:30am-9:30am, 12pm-3pm and 6pm-10pm, Sun 12-4pm.",Season: Year round (Open),,Recreation Facilities,Swimming Pool,Indoor Pool,Owner: Ellensburg,Fee:,,,"Facilites: Gym or Fitness Room, Swimming Pool",,,"This facility has a 25m indoor pool with diving area, hot tub, kids pool, sauna and fitness center.","Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,46.998161,-120.535480,Swimming
"<img src='http://www.manastashmapping.com/Photos/Kittitas/Veteran'sMemorialPark.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.ci.ellensburg.wa.us/index.aspx?NID=364 target=""_blank"">Veteran's Memorial Park</a>",Veteran's Memorial Park,,Kittitas County,,,Season: Year round (Open),,Recreation Areas,Park,Community Park,Owner: Ellensburg,Free - No fee or pass,"Amenities: Bathroom, Picnic Shelter, Playground",,Facilites: Basketball Court,Parking: There are 3-hour parking spaces on the north side of the playground,,"This park next to the city pool and fairgrounds has a fun play structure, basketball hoops, and lots of space to run. Bathrooms are in the pool in fitness center.","Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.998601,-120.535698,Community Park
"<img src='https://www.co.kittitas.wa.us/images/kvec/ra-exterior.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.co.kittitas.wa.us/kvec/facility.aspx?facility=17 target=""_blank"">Rodeo Arena</a>",Rodeo Arena,,Kittitas County Fairground,,,,,"Performance, Event & Sports Spaces",Sports Arena,Rodeo Arena,Owner: Kittitas County,,,,,,,"The Rodeo Arena, home of the world famous Ellensburg Rodeo, also accommodates high school and college rodeos, equine breed shows, roping and penning competitions and points barrel races. Full facilities are available with the rental of the arena.","Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.998704,-120.532883,Performance or Event Space
"<img src='http://www.manastashmapping.com/Photos/Kittitas/KiwanisPark.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.ci.ellensburg.wa.us/index.aspx?NID=353 target=""_blank"">Kiwanis Park</a>",Kiwanis Park,,"N A St and 14th Ave, Ellensburg",,,Season: Year round (Open),,Recreation Areas,Park,Community Park,Owner: Ellensburg,Free - No fee or pass,"Amenities: Bathroom, BBQ Grill, Picnic Shelter, Playground",Features: Interpretive Signs,"Facilites: Baseball or Softball Field, Basketball Court",Parking: There is a large parking lot at the north end of the park.,,"This park has playground equipment, small baseball field, and access to a creek.","Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,47.005330,-120.548518,Community Park
,"<a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=144 target=""_blank"">Ellensburg Public Library</a>",Ellensburg Public Library,,"209 N Ruby St, Ellensburg",Phone: 509-962-7110,"Hours: 10-7 Mon-Thu, 10-6 Fri, 1-5 Sat-Sun",Season: Year round (Open),Days Open: Mon Tue Wed Thu Fri Sat Sun,Community Spaces,Library,Public Library,Owner: Ellensburg,,,Features: Accessible Facilities,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.994145,-120.544836,Other
"<img src='http://www.manastashmapping.com/Photos/Kittitas/MtViewPark.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.ci.ellensburg.wa.us/index.aspx?NID=355 target=""_blank"">Lions Mountain View Park</a>",Lions Mountain View Park,,"1200 E. Seattle, Ellensburg",,,Season: Year round (Open),,Recreation Areas,Park,Community Park,Owner: Ellensburg,Free - No fee or pass,"Amenities: Bathroom, Picnic Shelter, Playground",,"Facilites: Baseball or Softball Field, Basketball Court, Roller Rink, Soccer Field",Parking: There is parking on the north side of the park.,,"This popular park has swings, a large picnic shelter, two climbing structures (one for big kids one for little) and a roller rink.","Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,46.987950,-120.532291,Community Park
,"<a href=http://ci.ellensburg.wa.us/index.aspx?NID=362 target=""_blank"">Rotary Park</a>",Rotary Park,,Kittitas County,,,Season: Year round (Open),,Recreation Areas,Park,Sports Fields,Owner: Ellensburg,Free - No fee or pass,"Amenities: Bathroom, Playground, Tournament Facilities",Features: Off-Leash Area,"Facilites: Baseball or Softball Field, BMX Ramps, Soccer Field, Trails",Parking: Large parking lot,"Summer Sports: Hiking, Road Biking","This park has large ball fields, an off-leash dog park and a playground. A paved trail runs from the parking lot, past the solar farm and under the highway to Carey Lakes. An off leash dog area and a mountain bike skills course were added in 2016.","Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,46.993244,-120.565139,Sports Fields
,"Fire District 2, Station #26","Fire District 2, Station #26",,"Fire District 2, Station #26,",,,,,Public Safety,Fire Department,Unmanned Fire Station,Owner: Fire District,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.045046,-120.434588,Other
,"<a href=http://www.clymermuseum.org/ target=""_blank"">Clymer Museum</a>",Clymer Museum,"Links: <a href=http://www.columbiabasinherald.com/crescent_bar_chronicle/news/article_a8b4729c-2a72-11e1-86d3-001871e3ce6c.html target=""_blank"">Article</a>","416 N Pearl St, Ellensburg",Phone: 509-962-6416,"Hours: Mon-Fri 11am-5pm, Sat 11am-3pm (winter) or 11am- 4pm (summer).",Season: Year round (Open),Days Open: Mon Tue Wed Thu Fri Sat,Attraction,Museum,Art Museum,Owner: Non-Profit,Free - No fee or pass,Amenities: Store,Features: Fun for Kids,,,,"The Clymer Museum & Gallery was established to honor our native son, John Ford Clymer. Clymer, a famous western artist, was born and raised in Ellensburg. The museum hosts the largest public collection of Clymer works as well as works of other artists.","Location contributed by <a href=http://ellensburgdowntown.org/ target=""_blank"">Ellensburg Downtown Association</a>",Open,46.996263,-120.547056,Museum
,"<a href=http://www.gallery-one.org/ target=""_blank"">Gallery One</a>",Gallery One,,"408 N Pearl St, Ellensburg",Phone: 509-925-2670,"Hours: M-F 11-5, Sat 10-4, Sun 12-4",,Days Open: Mon Tue Wed Thu Fri Sat Sun,Attraction,Museum,Art Museum,Owner: Non-Profit,Free - No fee or pass,,,,,,"Gallery One Visual Arts Center is dedicated to the creation, exhibition & appreciation of visual arts in Central WA. In addition to rotating exhibits of contemporary art, the gallery offers quarterly classes, an art after school program & ceramic studio.","Location contributed by <a href=http://ellensburgdowntown.org/ target=""_blank"">Ellensburg Downtown Association</a>",Open,46.995920,-120.547044,Museum
